work_id,collection,composer,title,catalog_key,n_units,year_start,year_end,year_certainty,source,note
kern-bach-370-chorales-chor208,kern/bach-370-chorales,Johann Sebastian Bach,chor208,,1,,,,,
kern-bach-370-chorales-chor209,kern/bach-370-chorales,Johann Sebastian Bach,chor209,,1,,,,,
kern-bach-370-chorales-chor210,kern/bach-370-chorales,Johann Sebastian Bach,chor210,,1,,,,,
kern-bach-370-chorales-chor211,kern/bach-370-chorales,Johann Sebastian Bach,chor211,,1,,,,,
kern-bach-370-chorales-chor212,kern/bach-370-chorales,Johann Sebastian Bach,chor212,,1,,,,,
kern-bach-370-chorales-chor213,kern/bach-370-chorales,Johann Sebastian Bach,chor213,,1,,,,,
kern-bach-370-chorales-chor214,kern/bach-370-chorales,Johann Sebastian Bach,chor214,,1,,,,,
kern-bach-370-chorales-chor215,kern/bach-370-chorales,Johann Sebastian Bach,chor215,,1,,,,,
kern-bach-370-chorales-chor216,kern/bach-370-chorales,Johann Sebastian Bach,chor216,,1,,,,,
kern-bach-370-chorales-chor217,kern/bach-370-chorales,Johann Sebastian Bach,chor217,,1,,,,,
kern-bach-370-chorales-chor218,kern/bach-370-chorales,Johann Sebastian Bach,chor218,,1,,,,,
kern-bach-370-chorales-chor219,kern/bach-370-chorales,Johann Sebastian Bach,chor219,,1,,,,,
kern-bach-370-chorales-chor220,kern/bach-370-chorales,Johann Sebastian Bach,chor220,,1,,,,,
kern-bach-370-chorales-chor221,kern/bach-370-chorales,Johann Sebastian Bach,chor221,,1,,,,,
kern-bach-370-chorales-chor222,kern/bach-370-chorales,Johann Sebastian Bach,chor222,,1,,,,,
kern-bach-370-chorales-chor223,kern/bach-370-chorales,Johann Sebastian Bach,chor223,,1,,,,,
kern-bach-370-chorales-chor224,kern/bach-370-chorales,Johann Sebastian Bach,chor224,,1,,,,,
kern-bach-370-chorales-chor225,kern/bach-370-chorales,Johann Sebastian Bach,chor225,,1,,,,,
kern-bach-370-chorales-chor226,kern/bach-370-chorales,Johann Sebastian Bach,chor226,,1,,,,,
kern-bach-370-chorales-chor227,kern/bach-370-chorales,Johann Sebastian Bach,chor227,,1,,,,,
kern-bach-370-chorales-chor228,kern/bach-370-chorales,Johann Sebastian Bach,chor228,,1,,,,,
kern-bach-370-chorales-chor229,kern/bach-370-chorales,Johann Sebastian Bach,chor229,,1,,,,,
kern-bach-370-chorales-chor230,kern/bach-370-chorales,Johann Sebastian Bach,chor230,,1,,,,,
kern-bach-370-chorales-chor231,kern/bach-370-chorales,Johann Sebastian Bach,chor231,,1,,,,,
kern-bach-370-chorales-chor232,kern/bach-370-chorales,Johann Sebastian Bach,chor232,,1,,,,,
kern-bach-370-chorales-chor233,kern/bach-370-chorales,Johann Sebastian Bach,chor233,,1,,,,,
kern-bach-370-chorales-chor234,kern/bach-370-chorales,Johann Sebastian Bach,chor234,,1,,,,,
kern-bach-370-chorales-chor235,kern/bach-370-chorales,Johann Sebastian Bach,chor235,,1,,,,,
kern-bach-370-chorales-chor236,kern/bach-370-chorales,Johann Sebastian Bach,chor236,,1,,,,,
kern-bach-370-chorales-chor237,kern/bach-370-chorales,Johann Sebastian Bach,chor237,,1,,,,,
kern-bach-370-chorales-chor238,kern/bach-370-chorales,Johann Sebastian Bach,chor238,,1,,,,,
kern-bach-370-chorales-chor239,kern/bach-370-chorales,Johann Sebastian Bach,chor239,,1,,,,,
kern-bach-370-chorales-chor240,kern/bach-370-chorales,Johann Sebastian Bach,chor240,,1,,,,,
kern-bach-370-chorales-chor241,kern/bach-370-chorales,Johann Sebastian Bach,chor241,,1,,,,,
kern-bach-370-chorales-chor242,kern/bach-370-chorales,Johann Sebastian Bach,chor242,,1,,,,,
kern-bach-370-chorales-chor243,kern/bach-370-chorales,Johann Sebastian Bach,chor243,,1,,,,,
kern-bach-370-chorales-chor244,kern/bach-370-chorales,Johann Sebastian Bach,chor244,,1,,,,,
kern-bach-370-chorales-chor245,kern/bach-370-chorales,Johann Sebastian Bach,chor245,,1,,,,,
kern-bach-370-chorales-chor246,kern/bach-370-chorales,Johann Sebastian Bach,chor246,,1,,,,,
kern-bach-370-chorales-chor247,kern/bach-370-chorales,Johann Sebastian Bach,chor247,,1,,,,,
kern-bach-370-chorales-chor248,kern/bach-370-chorales,Johann Sebastian Bach,chor248,,1,,,,,
kern-bach-370-chorales-chor249,kern/bach-370-chorales,Johann Sebastian Bach,chor249,,1,,,,,
kern-bach-370-chorales-chor250,kern/bach-370-chorales,Johann Sebastian Bach,chor250,,1,,,,,
kern-bach-370-chorales-chor251,kern/bach-370-chorales,Johann Sebastian Bach,chor251,,1,,,,,
kern-bach-370-chorales-chor252,kern/bach-370-chorales,Johann Sebastian Bach,chor252,,1,,,,,
kern-bach-370-chorales-chor253,kern/bach-370-chorales,Johann Sebastian Bach,chor253,,1,,,,,
kern-bach-370-chorales-chor254,kern/bach-370-chorales,Johann Sebastian Bach,chor254,,1,,,,,
kern-bach-370-chorales-chor255,kern/bach-370-chorales,Johann Sebastian Bach,chor255,,1,,,,,
kern-bach-370-chorales-chor256,kern/bach-370-chorales,Johann Sebastian Bach,chor256,,1,,,,,
kern-bach-370-chorales-chor257,kern/bach-370-chorales,Johann Sebastian Bach,chor257,,1,,,,,
kern-bach-370-chorales-chor258,kern/bach-370-chorales,Johann Sebastian Bach,chor258,,1,,,,,
kern-bach-370-chorales-chor259,kern/bach-370-chorales,Johann Sebastian Bach,chor259,,1,,,,,
