query,work,composer,hash,n_B,p_q_excl_A,count_excl_A,pred_occurrences,obs_occurrences,pred_works,obs_works
74,kern-humdrum-haydn-symphonies-sym103,haydn_fj,11185099478490614731,216,0.040861350289116416,68658,43446.55531739582,68658,215.86833801689167,164
75,dcml-schubert_winterreise-d-911-op-89,schubert_f,5537319285046847544,288,5.088374895179477e-07,0,0.9900881386985868,0,0.9853763063176227,0
76,musedata_mozart-nma-sym-k43,mozart_wa,10605112038323185734,231,6.222604981568644e-07,0,1.0755791371670043,0,1.0674064883778756,0
77,osq-13145872,schubert_f,11859689669829980325,288,5.088374895179477e-07,0,0.9900881386985868,0,0.9853763063176227,0
78,dcml_abc-n02op18-2,beethoven_l,8568302094359086997,246,1.4713206500588897e-06,1,1.5095799978805609,1,1.5010811387142917,1
79,dcml-beethoven_piano_sonatas-op-106,beethoven_l,4604512856081351139,246,7.356603250294448e-07,0,0.9767441434944739,0,0.9730988331175744,0
80,dcml_mozart_sonatas-K284,mozart_wa,12528042019243658026,231,6.222604981568644e-07,0,1.0755791371670043,0,1.0674064883778756,0
81,dcml-beethoven_piano_sonatas-op-106,beethoven_l,17349999207069642486,246,7.356603250294448e-07,0,0.9767441434944739,0,0.9730988331175744,0
82,dcml-cpe_bach_keyboard-wq-56-6,bach_cpe,12911417602617525069,271,4.826264143367072e-07,0,0.9594203716396555,0,0.9552810958437375,0
83,dcml-mendelssohn_quartets-op-13,mendelssohn_f,5427108596769561729,303,4.778248647636177e-07,0,0.9524799140319479,0,0.9484734412989491,0
84,musedata_beethoven-bhl-conc-violin,beethoven_l,16097120219690753634,246,7.356603250294448e-07,0,0.9767441434944739,0,0.9730988331175744,0
85,dcml-beethoven_piano_sonatas-op-31-1,beethoven_l,5311717870332834738,246,7.356603250294448e-07,0,0.9767441434944739,0,0.9730988331175744,0
86,musedata_beethoven-bhl-orch-sym9,beethoven_l,10803418882132551059,246,0.0009769569116391027,1327,888.73992148272,1327,201.89634380607046,77
87,musedata_beethoven-bhl-orch-sym9,beethoven_l,18283915391671619525,246,7.356603250294448e-07,0,0.9767441434944739,0,0.9730988331175744,0
88,musedata_mozart-nma-sym-k48,mozart_wa,14416667217390936403,231,6.222604981568644e-07,0,1.0755791371670043,0,1.0674064883778756,0
89,musedata_beethoven-bhl-orch-sym2,beethoven_l,12096425044251578460,246,5.296754340212002e-05,71,48.423518106272795,71,41.03218010254723,24
90,osq-13145872,schubert_f,5803970496514739379,288,5.088374895179477e-07,0,0.9900881386985868,0,0.9853763063176227,0
91,osl-5004732,schubert_f,4186725024226528321,288,5.088374895179477e-07,0,0.9900881386985868,0,0.9853763063176227,0
92,kern-humdrum-haydn-quartets-op20n2,haydn_fj,11014241433835220025,216,5.95134655167078e-07,0,1.0768521539959388,0,1.0694009250832588,0
93,osq-5162489,schubert_f,4218514626733653517,288,1.0176749790358953e-06,1,1.7213740408380334,1,1.7047104083680757,1
94,musedata_mozart-bhl-qrtets-k160,mozart_wa,16316959192528204731,231,6.222604981568644e-07,0,1.0755791371670043,0,1.0674064883778756,0
95,dcml_abc-n05op18-5,beethoven_l,13355026778334509338,246,7.356603250294448e-06,9,8.04776650857903,9,7.775063177961776,3
96,dcml-jc_bach_sonatas-op-5,bach_jc,2283708605790022124,303,1.294354409577839e-05,26,16.64632223063253,26,15.822467577782618,19
