n,lam,loglik,pendiente,MAE_log,sesgo_log,obs_pred
12,0.35,-29.406574500471645,1.0025906753964702,0.06039774318187677,-0.026164196724187763,1.065805248834914
12,0.4,-29.394656153143238,1.0024328171172443,0.05959223273530611,-0.0259460240495905,1.0593597320820656
12,0.45,-29.3895609640136,1.0022773472868607,0.058777188534166795,-0.025696386143146403,1.0529917059453018
12,0.5,-29.390882731229844,1.0021241454576335,0.057951808835690045,-0.02541364416258497,1.046699781339282
12,0.55,-29.398566656938165,1.0019730609925488,0.05712153448952386,-0.025095932372806364,1.0404826021821791
12,0.6,-29.412891654398475,1.0018239055983562,0.05636075451337586,-0.02474111787784562,1.0343388444212958
12,0.65,-29.434517640750443,1.0016764435535523,0.05563967346606606,-0.02434675036222131,1.0282672150930012
12,0.7,-29.464617596888715,1.001530378781881,0.05498828890584793,-0.023909998679396836,1.0222664514155828
12,0.75,-29.505159792391126,1.001385337540923,0.054335843470147444,-0.0234275698660987,1.0163353199136764
12,0.8,-29.559517224384578,1.0012408449088068,0.053809529743636474,-0.02289560428569538,1.0104726155730033
12,0.85,-29.63393570228367,1.0010962923271813,0.05360055174212617,-0.02230953774483719,1.0046771610241914
12,0.9,-29.741870294681437,1.0009508919605696,0.053535397241820576,-0.02166391695533102,0.9989478057545264
12,0.95,-29.92292473418544,1.0008036111307836,0.05354572674888272,-0.020952147509756408,0.9932834253465167
12,1.0,-44.33240931095962,1.0006530757602208,0.05368319810353906,-0.02016614154228795,0.9876829207422222
