pair,label,work_A,work_B,hash,occ_A,occ_B,mov_A,windows_B,DF,E,E_laplace,intervals,rclass,uniform_rhythm
P07,1,musedata_mozart-bhl-qrtets-k464,dcml_abc-n05op18-5,12555508749129863252,1,2,3,5517,0.1329479768786127,0.4236350840099702,0.41026624676575574,-2 -2 -1 -2 -2 4 3,0 0 0 0 0 0 0,1
P07,1,musedata_mozart-bhl-qrtets-k464,dcml_abc-n05op18-5,8542224000424025574,1,1,3,5517,0.011560693641618497,0.039474920561534524,0.04558513852952841,1 0 -1 -2 2 0 -2,0 0 0 0 0 0 0,1
P07,1,musedata_mozart-bhl-qrtets-k464,dcml_abc-n05op18-5,12015270205976624152,1,2,4,5517,0.08670520231213873,0.2712494607952642,0.23443785529471756,-1 -4 0 0 0 0 0,0 0 0 0 0 0 0,1
P07,1,musedata_mozart-bhl-qrtets-k464,dcml_abc-n05op18-5,9052755783468000443,1,2,4,5517,0.2023121387283237,0.8689507063625954,0.520973011766039,-4 0 0 0 0 0 0,0 0 0 0 0 0 0,1
P07,1,musedata_mozart-bhl-qrtets-k464,dcml_abc-n05op18-5,11185099478490614731,367,37,4,5517,0.6473988439306358,291.7878874402639,148.06704210655536,0 0 0 0 0 0 0,0 0 0 0 0 0 0,1
P07,1,musedata_mozart-bhl-qrtets-k464,dcml_abc-n05op18-5,3976025524021761216,1,1,4,5517,0.15606936416184972,0.8772093181859517,0.5860946382367939,0 0 0 0 0 0 -5,0 0 0 0 0 0 0,1
P07,1,musedata_mozart-bhl-qrtets-k464,dcml_abc-n05op18-5,2900228450425205540,2,7,4,5517,0.3063583815028902,9.396908547392053,4.3501246482464255,1 -1 1 -1 1 -1 1,0 0 0 0 0 0 0,1
P07,1,musedata_mozart-bhl-qrtets-k464,dcml_abc-n05op18-5,15644909263887403394,1,1,4,5517,0.17341040462427745,0.7601840027266854,0.6577284273546242,-2 -1 -2 -1 1 2 1,0 0 0 0 0 0 0,1
P07,1,musedata_mozart-bhl-qrtets-k464,dcml_abc-n05op18-5,12749843927274164339,2,1,4,5517,0.30057803468208094,2.0195369739244144,1.26987171617972,2 2 2 1 2 2 1,0 0 0 0 0 0 0,1
P07,1,musedata_mozart-bhl-qrtets-k464,dcml_abc-n05op18-5,10563289245518599898,4,1,4,5517,0.12138728323699421,0.6001112945358101,0.25397434323594403,0 0 0 0 -12 0 0,0 0 0 0 0 0 0,1
P07,1,musedata_mozart-bhl-qrtets-k464,dcml_abc-n05op18-5,2450634473282517016,4,1,4,5517,0.23121387283236994,1.0150315885711492,0.5795824755897184,0 0 0 -12 0 0 0,0 0 0 0 0 0 0,1
P07,1,musedata_mozart-bhl-qrtets-k464,dcml_abc-n05op18-5,16035098681092423610,4,1,4,5517,0.12138728323699421,0.5567949070083035,0.24095001794179305,0 0 -12 0 0 0 0,0 0 0 0 0 0 0,1
P07,1,musedata_mozart-bhl-qrtets-k464,dcml_abc-n05op18-5,7154234861506525088,4,1,4,5517,0.12716763005780346,0.5796179402120302,0.24746218058886854,0 -12 0 0 0 0 0,0 0 0 0 0 0 0,1
P07,1,musedata_mozart-bhl-qrtets-k464,dcml_abc-n05op18-5,10608263603240126584,4,1,4,5517,0.24277456647398843,1.1068553690252991,0.5014365238248125,-12 0 0 0 0 0 0,0 0 0 0 0 0 0,1
