query,work,composer,n_B,obs_occ,obs_works,pred_occ_lap,pred_occ_kn,pred_occ_hier,pred_works_lap,pred_works_kn,pred_works_hier,pred_works_df
58,musedata_mozart-bhl-conc-k453,mozart_wa,231,0,0,1.0755791371670043,1.8038655387620627e-09,3.959670654985562e-09,1.0674064883778756,1.803864835281388e-09,3.9596703693689506e-09,1.2907228968905794e-09
59,musedata_beethoven-bhl-orch-sym2,beethoven_l,246,0,0,0.9767441434944739,0.003512407775536212,0.00976843925006669,0.9730988331175744,0.0035123570970243545,0.00974132626438684,0.0036851830191087305
60,musedata_beethoven-bhl-orch-sym9,beethoven_l,246,0,0,0.9767441434944739,2.8420450567639253e-10,5.730594919211595e-10,0.9730988331175744,2.8420443776155935e-10,5.730584895502489e-10,2.5660351005918317e-10
61,dcml_abc-n10op74,beethoven_l,246,0,0,0.9767441434944739,0.0003110299497913795,0.00032757511796858096,0.9730988331175744,0.0003110295773038896,0.000327574715040746,0.0003468676043446957
62,musedata_beethoven-bhl-orch-sym8,beethoven_l,246,48833,179,30208.937728635377,44498.51252262182,46671.27404359565,245.55985934389997,245.83177566636985,245.55739916598156,172.47255172584724
63,musedata_mozart-bhl-qrtets-k285,mozart_wa,231,860,137,587.4493206103712,882.4425189383531,881.7172667368898,167.09517801119182,185.4571289929845,187.59625810899664,135.65851045869996
64,kern-humdrum-haydn-symphonies-sym102,haydn_fj,216,0,0,1.0768521539959388,2.428184192550698e-07,3.5882510922861444e-07,1.0694009250832588,2.4281841792817005e-07,3.5882510751594765e-07,1.836675496955894e-07
65,kern-humdrum-haydn-symphonies-sym101,haydn_fj,216,12,7,10.130196765465671,13.060290035357964,12.278360314910222,9.482292983313966,11.99995220647993,11.477892694376525,6.832113081282693
66,dcml-jc_bach_sonatas-op-17,bach_jc,303,0,0,0.953732427911133,1.6247993333719988e-06,2.043975366555877e-06,0.9497021643512937,1.6247993246398806e-06,2.04397534753209e-06,1.908214673108861e-06
67,kern-humdrum-haydn-quartets-op74n3,haydn_fj,216,0,0,1.0768521539959388,0.00044577215384269335,0.0005198397285746018,1.0694009250832588,0.0004457702581670553,0.0005198384377036458,0.0003295165376678827
68,kern-humdrum-haydn-quartets-op74n2,haydn_fj,216,0,0,1.0768521539959388,1.0445249882627413e-05,4.520976628781179e-05,1.0694009250832588,1.0445249244983579e-05,4.520951910946813e-05,9.169175998221583e-06
69,dcml_abc-n04op18-4,beethoven_l,246,0,0,0.9767441434944739,0.07164521872710583,0.06675703365329594,0.9730988331175744,0.07162460422159012,0.0667361473133784,0.030758791906056335
70,dcml-jc_bach_sonatas-op-17,bach_jc,303,0,0,0.953732427911133,0.0016917949713591046,0.0014620328110699456,0.9497021643512937,0.001691778907528585,0.0014620243836594993,0.0014202239089660972
71,dcml-cpe_bach_keyboard-wq56n05,bach_cpe,271,0,0,0.9594203716396555,2.3600524128114614e-12,4.7975244890159936e-12,0.9552810958437375,2.3600010834456953e-12,4.798605957034852e-12,2.6132841032024195e-12
72,musedata_beethoven-bhl-qrtet-op133,beethoven_l,246,0,0,0.9767441434944739,0.00011312892325294812,0.0001358563897557656,0.9730988331175744,0.0001131288723966728,0.0001358562361045701,0.0001017900136149188
73,musedata_mozart-nma-conc-k467,mozart_wa,231,0,0,1.0755791371670043,0.2682145357293636,0.3259017594496175,1.0674064883778756,0.2677297453004417,0.325227091955103,0.2823614849403836
74,kern-humdrum-haydn-symphonies-sym103,haydn_fj,216,68658,164,43446.55531739582,62950.3307398096,65584.9744694494,215.86833801689167,215.97111556408987,215.75567274004294,157.89145411065942
75,dcml-schubert_winterreise-d-911-op-89,schubert_f,288,0,0,0.9900881386985868,5.9179426451411914e-05,5.775316113236238e-05,0.9853763063176227,5.917941194277798e-05,5.7753144414696145e-05,7.287279073207916e-05
76,musedata_mozart-nma-sym-k43,mozart_wa,231,0,0,1.0755791371670043,0.0005388705288193313,0.0012777161498473686,1.0674064883778756,0.0005388685734932785,0.0012776138951787752,0.00047839208407582086
77,osq-13145872,schubert_f,288,0,0,0.9900881386985868,2.8647342651405397e-05,2.4629092747374458e-05,0.9853763063176227,2.864733906338124e-05,2.4629090445649204e-05,3.8348506352357456e-05
78,dcml_abc-n02op18-2,beethoven_l,246,1,1,1.5095799978805609,0.8263107649017238,0.7374560371315593,1.5010811387142917,0.8230016361242206,0.7354231667476357,0.9778283660214143
79,dcml-beethoven_piano_sonatas-op-106,beethoven_l,246,0,0,0.9767441434944739,1.6562925504654485e-12,1.4875361884222159e-12,0.9730988331175744,1.655675596623496e-12,1.4874768083927847e-12,1.5350888943877092e-12
80,dcml_mozart_sonatas-K284,mozart_wa,231,0,0,1.0755791371670043,0.030602987300982896,0.04156422908890442,1.0674064883778756,0.03059629674967823,0.04155578099691126,0.02713743484409486
81,dcml-beethoven_piano_sonatas-op-106,beethoven_l,246,0,0,0.9767441434944739,6.877284204753402e-07,7.580134226565454e-07,0.9730988331175744,6.877284181028287e-07,7.580134199214328e-07,5.597327964863941e-07
82,dcml-cpe_bach_keyboard-wq-56-6,bach_cpe,271,0,0,0.9594203716396555,3.4225230596109857e-07,9.243861465139712e-07,0.9552810958437375,3.4225230494122627e-07,9.243861291974298e-07,4.1562229634924e-07
83,dcml-mendelssohn_quartets-op-13,mendelssohn_f,303,0,0,0.9524799140319479,5.5602060722760267e-08,4.559580985709225e-08,0.9484734412989491,5.560206117749544e-08,4.559580968344079e-08,4.776976990508676e-08
84,musedata_beethoven-bhl-conc-violin,beethoven_l,246,0,0,0.9767441434944739,3.569721592282393e-05,6.800923739956582e-05,0.9730988331175744,3.569720280149902e-05,6.800921584559916e-05,2.138199828333311e-05
85,dcml-beethoven_piano_sonatas-op-31-1,beethoven_l,246,0,0,0.9767441434944739,0.04335473860856682,0.052656305967614093,0.9730988331175744,0.04334423228370421,0.05264417878250438,0.05243257849710313
86,musedata_beethoven-bhl-orch-sym9,beethoven_l,246,1327,77,888.73992148272,1341.218601665532,1365.4309533394191,201.89634380607046,216.48526733561886,213.449830780068,76.91995441207888
87,musedata_beethoven-bhl-orch-sym9,beethoven_l,246,0,0,0.9767441434944739,1.0245232731016562e-11,6.595080756145662e-11,0.9730988331175744,1.0245138071240945e-11,6.59508003764131e-11,1.092426810108209e-11
88,musedata_mozart-nma-sym-k48,mozart_wa,231,0,0,1.0755791371670043,0.0005569760010541488,0.00041754469623431765,1.0674064883778756,0.000556972016340529,0.00041754337729693614,0.00027938129379245004
89,musedata_beethoven-bhl-orch-sym2,beethoven_l,246,71,24,48.423518106272795,74.52424741704118,73.23977861485294,41.03218010254723,58.39368345382029,56.441518958673626,24.236844959959953
90,osq-13145872,schubert_f,288,0,0,0.9900881386985868,1.1873158784439254e-07,4.1059204612510643e-07,0.9853763063176227,1.1873158645148152e-07,4.105920445862665e-07,1.368262015993568e-07
91,osl-5004732,schubert_f,288,0,0,0.9900881386985868,0.005553393509805105,0.005798641866512451,0.9853763063176227,0.0055532606422515896,0.005798193441181709,0.0054143050117110595
92,kern-humdrum-haydn-quartets-op20n2,haydn_fj,216,0,0,1.0768521539959388,1.0266914956222486e-06,1.431495972186064e-06,1.0694009250832588,1.0266914907131053e-06,1.4314959615457923e-06,1.1684279397393286e-06
93,osq-5162489,schubert_f,288,1,1,1.7213740408380334,0.508678063071686,0.48075360232414305,1.7047104083680757,0.5067104167679272,0.47973682079693536,0.9496056867805448
94,musedata_mozart-bhl-qrtets-k160,mozart_wa,231,0,0,1.0755791371670043,1.6094727697822164e-07,1.3529696235163391e-07,1.0674064883778756,1.6094727728344083e-07,1.3529696274439118e-07,2.5575841170803576e-07
95,dcml_abc-n05op18-5,beethoven_l,246,9,3,8.04776650857903,10.25967353186432,10.119018078619517,7.775063177961776,9.803087776811402,9.001869004611734,2.9338503049874753
96,dcml-jc_bach_sonatas-op-5,bach_jc,303,26,19,16.64632223063253,26.43433142197196,27.525241924144243,15.822467577782618,24.407462246392093,24.49230866691302,19.248177498899896
97,dcml-beethoven_piano_sonatas-op-110,beethoven_l,246,0,0,0.9767441434944739,1.4745258017179544e-05,1.3411862603202505e-05,0.9730988331175744,1.4745256794124195e-05,1.341186147318929e-05,1.7729668903262253e-05
98,musedata_mozart-bhl-qrtets-k173,mozart_wa,231,0,0,1.0755791371670043,0.008563244420290593,0.006898537365755639,1.0674064883778756,0.008562850836233982,0.006898348370607876,0.011995106913372635
99,musedata_beethoven-bhl-orch-sym7,beethoven_l,246,1134,77,764.8522837481742,1149.9042320653418,1151.3012397262235,196.92226111591194,212.9774220291868,207.9154877808456,75.81514029319588
100,dcml-beethoven_piano_sonatas-op-81a,beethoven_l,246,0,0,0.9767441434944739,3.6789490251314936e-05,6.348705217540181e-05,0.9730988331175744,3.678948339325139e-05,6.348703003844491e-05,3.266632824455784e-05
101,dcml-jc_bach_sonatas-op-5,bach_jc,303,208,45,143.71920389907459,212.5651296334627,213.93464251303132,96.14754308861197,124.2691705298505,122.35605045311547,45.102250092279334
102,dcml-beethoven_piano_sonatas-op-10-3,beethoven_l,246,0,0,0.9767441434944739,0.050077836176601734,0.07150182079777101,0.9730988331175744,0.05006779021940755,0.07148049124729361,0.05333454067535412
